"","Year","American_Indian_or_Alaska_Native","Asian","Black_of_African_American","Native_Hawaiian_or_Other_Pacific_Islander","White","Two_or_More_Races","Hispanic_or_Latino","Not_Available"
"1",2020,12047,563125,232568,9756,5401219,110049,655365,1163560
"2",2019,6473,224134,131010,5307,2527140,46798,334618,493846
"3",2018,6027,156038,114718,4963,2013658,33347,257906,366378
"4",2017,7711,198162,119815,9237,2339282,33951,282709,363857
"5",2016,7946,261006,113877,10443,2736466,36962,291370,387498
"6",2015,12450,213046,99474,8717,2428901,31820,243577,314806
"7",2014,13432,163615,91712,7560,2006948,23628,200664,249407
"8",2013,9741,301742,145249,12264,3694789,40777,285704,470583
"9",2012,9506,370296,132522,11994,4129031,39606,259227,513900
"10",2011,6901,259949,93720,8479,2911667,29130,182690,500925
"11",2010,7086,289157,99674,9986,3236074,31829,197404,645540
